tourney_id,tourney_name,surface,draw_size,tourney_level
2005-M-SA-GBR-02A-2005d,Great Britain 2 4,Clay,32,S
2002-M-FU-FRA-11A-2002,France F11,Clay,32,S
1999-M-SA-TUR-02A-1999a,Turkey 2 Masters 1,Hard,24,S
1969-421,Montreal / Toronto,Clay,64,M
2015-D053,Davis Cup G2 R1: MON vs FIN,Clay,4,D
2017-6579,Lima CH,Clay,32,C
2015-M-FU-EGY-16A-2015,Egypt F16,Hard,32,S
1989-467,Aptos CH,Hard,32,C
1993-M-SA-POR-01A-1993a,Portugal 1 Masters 1,Clay,32,S
1996-M-SA-FRA-05A-1996d,France 5 Masters 4,Hard,32,S
2010-4041,Cancun CH,Clay,32,C
2012-686,Scheveningen CH,Clay,32,C
2017-M-FU-BUL-01A-2017,Bulgaria F1,Hard,32,S
2016-7288,Seoul CH,Hard,32,C
2002-766,Yokohama CH,Carpet,32,C
2015-M-FU-TUN-07A-2015,Tunisia F7,Hard,32,S
2015-M-FU-TUR-06A-2015,Turkey F6,Hard,32,S
1976-D037,Davis Cup EUR QF: IND vs JPN,,4,D
2015-D056,Davis Cup G2 R1: LUX vs MAD,Hard,4,D
2000-M-SA-EGY-03A-2000c,Egypt 3 3,Clay,32,S
1996-564,Hamburen CH,Carpet,32,C
2004-M-FU-GER-15A-2004,Germany F16,Clay,32,S
2016-6961,New Delhi CH,Hard,32,C
1997-M-SA-CRO-02A-1997a,Croatia 2 Masters 1,Clay,24,S
2010-6112,Honolulu CH,Hard,32,C
1984-339,Adelaide,Grass,32,A
2001-489,Kerrville CH,Hard,32,C
1990-743,Hong Kong CH,Hard,32,C
1996-M-SA-USA-06A-1996c,USA 6 Masters 3,Hard,64,S
1986-D043,Davis Cup WG PO: IND vs URS,Grass,4,D
1980-265,Shimizu City CH,Hard,32,C
2005-845,Mantova CH,Clay,32,C
2018-7696,ATP Next Gen Finals,Hard,8,F
2015-540,Wimbledon,Grass,128,G
2008-4042,Toyota CH,Carpet,32,C
1977-D010,Davis Cup EUR PR: BEL vs DEN,Clay,4,D
2015-M-FU-AUS-02A-2015,Australia F2,Hard,32,S
1990-325,Palermo,Clay,32,A
2014-M-FU-CHI-05A-2014,Chile F5,Clay,32,S
1993-204,Vina Del Mar CH,Clay,32,C
1993-D007,Davis Cup WG QF: ITA vs AUS,Clay,4,D
1997-891,Chennai,Hard,32,A
2011-6309,Aguascalientes CH,Clay,32,C
2015-M-FU-TUR-21A-2015,Turkey F21,Hard,32,S
2008-M-FU-USA-13A-2008,USA F13,Hard,32,S
2007-M-FU-TUN-05A-2007,Tunisia F5,Hard,32,S
